method,run,seconds,sum,vector_size,threads
sequential,1,0.045596028,100000000,100000000,3
openmp,1,0.023465552,100000000,100000000,3
tbb,1,0.022595035,100000000,100000000,3
sequential,2,0.042946043,100000000,100000000,3
openmp,2,0.017267038,100000000,100000000,3
tbb,2,0.017040742,100000000,100000000,3
sequential,3,0.042445512,100000000,100000000,3
openmp,3,0.015258403,100000000,100000000,3
tbb,3,0.022839068,100000000,100000000,3
sequential,4,0.034811276,100000000,100000000,3
openmp,4,0.016375782,100000000,100000000,3
tbb,4,0.016540213,100000000,100000000,3
sequential,5,0.039760657,100000000,100000000,3
openmp,5,0.021260598,100000000,100000000,3
tbb,5,0.019937607,100000000,100000000,3
sequential,6,0.047662761,100000000,100000000,3
openmp,6,0.016659730,100000000,100000000,3
tbb,6,0.031087301,100000000,100000000,3
sequential,7,0.029391896,100000000,100000000,3
openmp,7,0.025790769,100000000,100000000,3
tbb,7,0.033162696,100000000,100000000,3
sequential,8,0.042730042,100000000,100000000,3
openmp,8,0.027022767,100000000,100000000,3
tbb,8,0.022618791,100000000,100000000,3
sequential,9,0.039364322,100000000,100000000,3
openmp,9,0.018379394,100000000,100000000,3
tbb,9,0.026259104,100000000,100000000,3
sequential,10,0.041577891,100000000,100000000,3
openmp,10,0.017919493,100000000,100000000,3
tbb,10,0.026013271,100000000,100000000,3
sequential,11,0.041892475,100000000,100000000,3
openmp,11,0.015747074,100000000,100000000,3
tbb,11,0.025762151,100000000,100000000,3
sequential,12,0.038773134,100000000,100000000,3
openmp,12,0.015759718,100000000,100000000,3
tbb,12,0.037219646,100000000,100000000,3
sequential,13,0.033825383,100000000,100000000,3
openmp,13,0.016757472,100000000,100000000,3
tbb,13,0.018290817,100000000,100000000,3
sequential,14,0.047200157,100000000,100000000,3
openmp,14,0.017716593,100000000,100000000,3
tbb,14,0.019209324,100000000,100000000,3
sequential,15,0.050977919,100000000,100000000,3
openmp,15,0.028421264,100000000,100000000,3
tbb,15,0.024544219,100000000,100000000,3
sequential,16,0.040351536,100000000,100000000,3
openmp,16,0.027731426,100000000,100000000,3
tbb,16,0.024468580,100000000,100000000,3
sequential,17,0.047242380,100000000,100000000,3
openmp,17,0.015880660,100000000,100000000,3
tbb,17,0.015702806,100000000,100000000,3
sequential,18,0.043873530,100000000,100000000,3
openmp,18,0.015328501,100000000,100000000,3
tbb,18,0.026085066,100000000,100000000,3
sequential,19,0.036565243,100000000,100000000,3
openmp,19,0.015424637,100000000,100000000,3
tbb,19,0.015498998,100000000,100000000,3
sequential,20,0.040698567,100000000,100000000,3
openmp,20,0.015659235,100000000,100000000,3
tbb,20,0.015573792,100000000,100000000,3
sequential,21,0.048491527,100000000,100000000,3
openmp,21,0.015889997,100000000,100000000,3
tbb,21,0.015495918,100000000,100000000,3
sequential,22,0.039555950,100000000,100000000,3
openmp,22,0.026141617,100000000,100000000,3
tbb,22,0.034271086,100000000,100000000,3
sequential,23,0.034992171,100000000,100000000,3
openmp,23,0.032489760,100000000,100000000,3
tbb,23,0.019177615,100000000,100000000,3
sequential,24,0.043199308,100000000,100000000,3
openmp,24,0.034884191,100000000,100000000,3
tbb,24,0.022335999,100000000,100000000,3
sequential,25,0.042031320,100000000,100000000,3
openmp,25,0.016031445,100000000,100000000,3
tbb,25,0.031994338,100000000,100000000,3
sequential,26,0.037676041,100000000,100000000,3
openmp,26,0.019583754,100000000,100000000,3
tbb,26,0.019344992,100000000,100000000,3
sequential,27,0.054537498,100000000,100000000,3
openmp,27,0.015871878,100000000,100000000,3
tbb,27,0.015627441,100000000,100000000,3
sequential,28,0.042945850,100000000,100000000,3
openmp,28,0.015745194,100000000,100000000,3
tbb,28,0.015401008,100000000,100000000,3
sequential,29,0.041180792,100000000,100000000,3
openmp,29,0.032150013,100000000,100000000,3
tbb,29,0.025248389,100000000,100000000,3
sequential,30,0.050065588,100000000,100000000,3
openmp,30,0.015218284,100000000,100000000,3
tbb,30,0.015689231,100000000,100000000,3
